元件编号	元件名称	元件类别	封装规格	焊盘数量	品牌产地	库类型
C23153	39KΩ (3902) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23147	36KΩ (3602) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23137	330KΩ (3303) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22976	2MΩ (2004) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23159	4.3KΩ (4301) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23184	49.9KΩ (4992) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23192	510KΩ (5103) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23234	7.5KΩ (7501) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23221	62KΩ (6202) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23204	560Ω (5600) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23206	56KΩ (5602) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23242	75KΩ (7502) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23253	820Ω (8200) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23254	82KΩ (8202) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23260	9.1KΩ (9101) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C25808	120KΩ (1203) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C25810	18KΩ (1802) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23350	240Ω (2400) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C25197	5.1Ω (5R10) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23255	82Ω (82R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C25950	11KΩ (1102) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
